Temperature,Vibration,Current,RPM,Operating_Hours,Status
78,1.79,3.52,1218,196,Failure
91,1.94,3.56,1389,4032,Failure
68,0.81,8.81,1437,3503,Failure
54,1.77,4.25,1347,4557,Failure
82,2.59,5.1,1453,2460,Failure
47,1.83,4.47,1226,186,Failure
60,1.17,5.31,1174,3410,Failure
78,1.4,3.45,1460,3055,Warning
58,3.96,6.37,1303,3602,Warning
62,2.05,3.44,1148,68,Failure
50,3.23,8.2,1178,2292,Failure
50,4.28,4.52,1340,498,Warning
63,5.68,6.51,1448,1998,Failure
92,0.79,8.72,1253,995,Failure
75,6.5,7.23,1373,4286,Failure
79,5.21,6.46,1195,1970,Failure
63,1.11,5.11,1313,3027,Warning
42,7.05,5.16,1393,4238,Failure
61,7.41,7.35,1308,4065,Failure
92,0.96,9.46,1442,288,Failure
41,2.58,7.3,1187,254,Failure
63,6.55,6.63,1405,2657,Failure
83,6.11,7.75,1363,4390,Failure
69,1.88,6.02,1489,4977,Failure
77,2.07,3.39,1424,3438,Warning
41,3.28,6.65,1476,3022,Warning
60,4.13,9.22,1419,4440,Failure
72,5.14,4.14,1256,2737,Warning
51,3.27,7.49,1255,4216,Failure
61,3.97,4.31,1238,1398,Failure
83,6.11,6.48,1220,4450,Failure
64,0.78,3.63,1164,866,Failure
88,2.39,5.93,1206,870,Failure
66,5.85,7.92,1246,242,Failure
81,7.21,5.26,1236,1826,Failure
67,4.34,7.32,1261,3695,Warning
55,4.49,8.17,1199,4674,Failure
54,1.3,9.03,1437,300,Failure
86,3.86,4.53,1498,1838,Failure
90,4.49,5.6,1406,3750,Failure
83,2.32,3.99,1240,2513,Failure
94,2.52,9.45,1182,1217,Failure
91,3.33,9.03,1276,3943,Failure
42,0.65,6.51,1297,1146,Warning
76,2.92,8.47,1211,2729,Failure
90,2.09,6.39,1155,1897,Failure
46,2.96,7.05,1278,3954,Warning
60,1.4,3.58,1500,554,Normal
48,7.18,7.91,1285,1671,Failure
78,4.95,3.83,1317,2522,Warning
57,5.59,8.37,1415,2596,Failure
43,6.42,8.08,1316,1437,Failure
64,4.24,7.61,1219,3044,Failure
53,1.15,3.24,1493,3866,Warning
89,4.53,4.97,1274,767,Failure
48,4.9,4.71,1122,3534,Failure
65,6.09,5.34,1312,4484,Failure
92,3.74,3.57,1334,708,Failure
41,1.46,9.09,1112,4058,Failure
59,2.63,6.6,1200,4574,Failure
67,3.22,4.99,1123,4284,Failure
86,5.34,5.58,1463,3814,Failure
46,4.78,5.91,1110,3039,Failure
83,3.17,6.9,1372,4687,Failure
47,7.9,6.35,1380,2154,Failure
86,5.04,8.98,1193,1305,Failure
74,2.28,6.23,1300,2532,Warning
53,1.26,9.45,1120,433,Failure
56,1.65,8.53,1439,2657,Failure
75,2.34,4.36,1310,243,Warning
89,1.71,9.05,1239,3857,Failure
79,1.9,3.76,1392,3769,Warning
43,2.64,8.31,1397,2631,Failure
41,1.8,5.47,1500,2615,Warning
45,7.23,8.71,1200,2813,Failure
93,1.1,8.64,1403,2848,Failure
81,4.43,8.24,1458,2389,Failure
43,3.58,8.14,1127,3456,Failure
93,7.87,4.98,1140,781,Failure
68,1.34,3.53,1454,2922,Warning
57,3.48,5.62,1402,3170,Warning
65,7.77,4.13,1245,4830,Failure
83,6.99,7.52,1355,4227,Failure
73,6.63,5.25,1326,2654,Failure
